Receive Time,receive_time_offset_sec,Session ID,session_key,Type,Threat/Content Type,Rule,Action Source,Action,Session End Reason,Application,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,IP Protocol,Source Port,Destination Port,Source Country,Destination Country,Category,Bytes,Bytes Sent,Bytes Received,Packets,Packets Sent,Packets Received,Elapsed Time (sec),Subcategory of app,Category of app,Technology of app,Risk of app,SaaS of app,AI Traffic,has_linked_threat
2000/01/01 00:10:16,616,100088,synthetic-0088,TRAFFIC,end,synthetic-rule-2,from-policy,allow,threat,ping,LAN,WAF,ae1.10,ae1.10,icmp,51449,0,Private-Use,Germany,unknown,33588,14208,19380,35,16,19,0,infrastructure,networking,network-protocol,1,no,no,0
2000/01/01 00:05:56,356,100089,synthetic-0089,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-server,unknown-tcp,WAN,WAN,ethernet1/1,ethernet1/3,tcp,6520,7547,Private-Use,United States,unknown,37610,1760,35850,34,4,30,231,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:19:30,1170,100090,synthetic-0090,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-fin,dns-base,WAN,WAN,ethernet1/3,ethernet1/2,udp,26331,53,Private-Use,Private-Use,unknown,11301,11132,169,24,23,1,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:37:55,2275,100091,synthetic-0091,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-server,telegram-base,LAN,WAN,ae1.10,ae1.10,tcp,41351,443,Private-Use,Private-Use,any,24988,14668,10320,49,19,30,0,instant-messaging,collaboration,client-server,2,yes,no,0
2000/01/01 00:03:04,184,100092,synthetic-0092,TRAFFIC,end,synthetic-rule-1,from-policy,allow,tcp-fin,snmpv3-get-request,LAN,WAF,ae1.10,ae1.10,udp,5140,161,Private-Use,Private-Use,unknown,11627,6992,4635,34,19,15,0,network-management,networking,client-server,2,no,no,0
2000/01/01 00:09:18,558,100093,synthetic-0093,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,ssl,LAN,WAF,ethernet1/1,ethernet1/3,tcp,5459,443,Private-Use,France,computer-and-internet-info,28507,14812,13695,38,23,15,260,encrypted-tunnel,networking,browser-based,4,no,no,0
2000/01/01 00:18:48,1128,100094,synthetic-0094,TRAFFIC,end,synthetic-rule-1,from-policy,allow,threat,dns-base,LAN,WAN,ethernet1/3,ethernet1/2,udp,49058,53,Private-Use,Private-Use,computer-and-internet-info,10114,7975,2139,48,25,23,0,infrastructure,networking,network-protocol,3,no,no,1
2000/01/01 00:04:45,285,100095,synthetic-0095,TRAFFIC,end,synthetic-rule-3,from-policy,allow,aged-out,web-browsing,DMZ,WAF,ae1.10,ethernet1/1,tcp,20255,80,Private-Use,United States,any,21066,7626,13440,71,31,40,103,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:33:36,2016,100096,synthetic-0096,TRAFFIC,end,synthetic-rule-2,from-policy,allow,aged-out,web-browsing,LAN,WAF,ethernet1/3,ethernet1/1,tcp,53409,80,Private-Use,Germany,unknown,8351,5525,2826,31,13,18,205,internet-utility,general-internet,browser-based,4,no,no,0
2000/01/01 00:38:48,2328,100097,synthetic-0097,TRAFFIC,drop,synthetic-rule-2,from-policy,drop,aged-out,insufficient-data,LAN,WAF,ethernet1/1,ae1.10,tcp,40506,8443,Private-Use,United States,computer-and-internet-info,15549,7992,7557,57,24,33,0,unknown,unknown,unknown,1,no,no,0
2000/01/01 00:39:12,2352,100098,synthetic-0098,TRAFFIC,end,synthetic-rule-2,from-policy,allow,tcp-rst-from-client,dns-base,LAN,WAF,ae1.10,ethernet1/3,udp,42932,53,Private-Use,Private-Use,any,18205,14993,3212,51,29,22,0,infrastructure,networking,network-protocol,3,no,no,0
2000/01/01 00:13:12,792,100099,synthetic-0099,TRAFFIC,end,synthetic-rule-3,from-policy,allow,tcp-rst-from-client,snmpv3-get-request,WAN,WAN,ethernet1/3,ethernet1/3,udp,26114,161,Private-Use,France,any,5875,5481,394,31,29,2,79,network-management,networking,client-server,2,no,no,0
